Group,Salary
Elec_eng,4057
Elec_eng,4406
Elec_eng,4734
Elec_eng,4649
Elec_eng,4182
Elec_eng,4542
Elec_eng,4432
Elec_eng,4392
Elec_eng,4537
Elec_eng,4268
Elec_eng,4564
Elec_eng,5132
Elec_eng,4696
Elec_eng,4879
Elec_eng,4283
Elec_eng,4562
Elec_eng,4384
Elec_eng,4906
Elec_eng,4606
Elec_eng,3986
Elec_eng,4976
Elec_eng,4650
Elec_eng,4637
Elec_eng,4495
Elec_eng,4681
Elec_eng,4857
Elec_eng,4285
Elec_eng,4437
Elec_eng,4210
Elec_eng,4884
Elec_eng,4073
Elec_eng,5149
Elec_eng,4495
Elec_eng,4227
Elec_eng,4457
Elec_eng,4575
Elec_eng,4500
Elec_eng,4469
Elec_eng,4355
Elec_eng,4726
Elec_eng,4430
Elec_eng,4567
Elec_eng,4393
Elec_eng,3908
Elec_eng,4855
Elec_eng,4955
Elec_eng,4556
Elec_eng,4633
Elec_eng,4401
Elec_eng,4784
Elec_eng,4457
Elec_eng,4580
Elec_eng,4834
Elec_eng,4721
Elec_eng,4130
Elec_eng,4091
Elec_eng,4423
Elec_eng,4765
Elec_eng,4181
Elec_eng,4671
Elec_eng,4371
Elec_eng,4752
Elec_eng,4970
Elec_eng,5006
Elec_eng,4712
Elec_eng,4696
Elec_eng,4283
Elec_eng,4862
Elec_eng,4541
Elec_eng,4941
Elec_eng,5005
Elec_eng,5357
Elec_eng,4812
Elec_eng,4751
Elec_eng,4716
Elec_eng,4888
Elec_eng,4837
Elec_eng,5227
Elec_eng,3981
Elec_eng,4577
Mech_eng,4515
Mech_eng,4395
Mech_eng,4402
Mech_eng,4436
Mech_eng,4217
Mech_eng,4451
Mech_eng,4193
Mech_eng,4603
Mech_eng,4471
Mech_eng,4387
Mech_eng,3973
Mech_eng,4470
Mech_eng,4258
Mech_eng,4443
Mech_eng,4557
Mech_eng,4667
Mech_eng,4507
Mech_eng,4391
Mech_eng,4332
Mech_eng,3861
Mech_eng,4126
Mech_eng,4859
Mech_eng,4101
Mech_eng,4520
Mech_eng,4847
Mech_eng,5386
Mech_eng,4516
Mech_eng,4535
Mech_eng,4816
Mech_eng,4637
Mech_eng,4147
Mech_eng,4711
Mech_eng,4040
Mech_eng,4559
Mech_eng,4698
Mech_eng,4505
Mech_eng,4963
Mech_eng,4878
Mech_eng,4745
Mech_eng,5209
Mech_eng,5150
Mech_eng,4613
Mech_eng,4484
Mech_eng,4842
Mech_eng,5075
Mech_eng,5190
Mech_eng,4099
Mech_eng,4077
Mech_eng,5027
Mech_eng,4827
Mech_eng,4457
Mech_eng,4528
Mech_eng,4800
Mech_eng,4663
Mech_eng,4958
Mech_eng,4659
Mech_eng,4669
Mech_eng,4388
Mech_eng,4758
Mech_eng,4536
Mech_eng,4863
Mech_eng,4476
Mech_eng,4355
Mech_eng,5039
Mech_eng,4792
Mech_eng,4165
Mech_eng,4122
Mech_eng,4680
Mech_eng,3982
Mech_eng,4708
Mech_eng,4692
Mech_eng,4490
Mech_eng,4550
Mech_eng,4755
Mech_eng,4487
Mech_eng,4119
Mech_eng,4535
Mech_eng,4285
Mech_eng,4780
Mech_eng,4326
Mech_eng,4410
Mech_eng,4531
Mech_eng,4954
Mech_eng,4359
Mech_eng,4445
Mech_eng,4765
Mech_eng,4511
Mech_eng,4387
Mech_eng,4793
Mech_eng,4638
Mech_eng,4884
Mech_eng,4944
Mech_eng,4407
Mech_eng,4093
Mech_eng,4376
Mech_eng,4219
Mech_eng,4412
Mech_eng,3900
Mech_eng,4771
Mech_eng,4942
